Rank	Russian	English
182	стол	table, desk, board; diet, cooking, cuisine
183	стоять	stand
184	последний	last, latest, latter, recent
185	слушать	listen, hear, attend, examine chest, auscultate, obey
186	молодой	young, youthful, new, bridegroom
187	очевидный	obvious, evident, manifest
188	графиня	countess
189	можно	one can, it is possible; may I, can I
190	уж	grass snake
191	мужик	guy; peasant, uncouth person
192	там	there, later, by and by
193	остановиться	to stop; stay
194	сила	power
195	доктор	doctor of Philosophy, doctor, physician
196	каждый	each, every, everyone
197	князь	Nobleman; Prince
198	свет	light, world, society
199	нынче	nowadays
200	вспомнить	remember, recollect, recall, think of
201	несмотря	despite, in spite of
202	стараться	try hard; strive
203	взглянуть	to glance, to look at
204	нога	leg
205	особенно	especially, particularly, unusually, more than usual
206	над	above, over
207	встать	get up, stand up, rise
208	несколько	some, a few
209	год	year
210	ах	ah!, oh!
211	сидеть	sit, be perched, be, fit
212	совсем	completely; at all
213	право	right, licence, law, really, truly, indeed
214	просить	request, ask for
215	заметить	notice, note, observe, sight, catch sight, pay heed, remark
216	кроме	except, besides
217	маленький	small, little, diminutive, slight, young, baby, child
218	давно	long ago, for a long time
219	наш	our
220	немой	dumb, mute
221	слышать	hear
222	счастье	happiness, luck, good fortune
223	много	a lot of, many
224	веселый	merry, cheerful, happy; funny
225	знакомый	familiar, acquainted; acquaintance, friend
226	пройти	pass; get to, go to, reach
227	оба	both
228	ведь	you know; after all
229	начать	begin, start, commence
230	никто	nobody, no one
231	письмо	letter, writing, script
232	дорога	road, way, journey
233	обратиться	appeal to, address, turn to; convert, apply, treat
234	твой	your, yours, thy, thine, your people
235	правда	truth
236	весело	funny; happily, cheerfully
237	прийти	come, arrive
238	бояться	be afraid, dread, fear
239	прибавить	add, increase, widen, lengthen, lay in on
240	ж	then
241	вернуться	return
242	шаг	step, stride, pace, tread, footsteps
243	остаться	remain, stay, be left
244	сердце	heart
245	час	hour, time, hours
246	вид	appearance, look, aspect, semblance; sight, view, views
247	хотеться	like
248	таки	indeed, after all
249	ждать	wait, expect, await
250	отец	father
251	испытывать	try, test, put to the test; experience, feel
252	движение	movement
253	три	three, 3
254	почувствовать	feel, have a sensation, sense
255	больной	patient, sick person, invalid
256	посмотреть	look, watch
257	больший	greater
258	уехать	leave, depart
259	народ	people, nation
260	обед	lunch, dinner, lunch-time
261	давать	give
262	считать	consider, deem, find, think; count, compute
263	хозяйство	farm, economy
264	зачем	what for, why
265	сейчас	now; soon
266	всякий	every type of, every sort of, any type of, any sort of
267	получить	receive, get, obtain
268	верить	believe, trust
269	счастливый	happy, fortunate, lucky
270	высокий	high; tall
271	тогда	then
272	общий	general, common, mutual, aggregate, total
273	забыть	forget
274	здесь	here, with us, in this country, about it, in it, at this point
275	почти	almost, nearly
276	радость	gladness, joy
277	деревня	village, country, countryside
278	решить	decide, determine, resolve, be determined, solve
279	виноватый	guilty
280	проговорить	say, pronounce, utter, speak, talk
281	улыбнуться	smile
282	особенность	feature
283	спокойный	quiet, calm, tranquil, placid, serene, easy-tempered, composed, easy
284	писать	write; paint
285	пора	time; it is time to
286	ожидать	expect, anticipate, await
287	удовольствие	pleasure, amusement
288	ходить	go, walk, move, pass
289	быстро	fast, quickly, rapidly, with speed
290	труд	difficulty, labour, work, toil, trouble, difficulty
291	деньга	money (archaic sg of деньги)
292	оставить	leave
293	особенный	special, particular, peculiar
294	именно	exactly, namely, to wit, that is, just
295	никакой	no...at all, no...whatsoever, none
296	куда	wherever
297	отчий	paternal
298	показаться	seem; show up
299	слеза	tear
300	платье	dress, gown; clothes, clothing
301	сестра	sister; nurse
302	дочь	daughter
303	послать	send, dispatch
304	лакей	footman, man-servant, lackey, flunkey
305	книга	book, volume
306	вспоминать	to recall, to recollect, to remember
307	выходить	go out, come out, leave; use up, run out of
308	разве	perhaps, unless; indeed, really
309	развод	divorce, breeding
310	через	across, over; through
311	смерть	death, decease
312	простить	to excuse, to forgive, to pardon
313	спрашивать	ask, inquire, demand
314	ясно	clearly, evidently, clear
315	общество	society, company; life
316	рад	am, is, glad
317	прямо	straight, frankly, openly, bluntly, real, really, exactly, downright
318	читать	read
319	сесть	sit down
320	слишком	too (much)
321	старик	old man
322	точно	exact
323	почему	why
324	воспоминание	recollection, memory, reminiscence, memoirs, reminiscences
325	сколько	how much, how many
326	добрый	good; kind
327	вода	water
328	плохой	bad
329	губа	lip, inlet, bay, firth, tree-fungus
330	принять	to take; to admit, to accept
331	вчера	yesterday
332	находить	to find; to come across
333	уйти	leave, depart
334	девушка	girl, lass, miss
335	состояние	condition, state; fortune
336	дама	lady, partner, queen
337	оно	it, he, she
338	тон	tone
339	заговорить	begin to speak
340	русский	Russian man
341	невольно	involuntarily, automatically, unintentionally, unwittingly
342	тысяча	a thousand
343	встретить	meet
344	полный	is full of
345	ответ	answer, reply, response
346	помнить	remember, keep in mind
347	долго	a long time
348	ужасно	terribly, horribly, awfully, frightfully
349	просто	it is simple, it is easy, simply; just, just only, only
350	покраснеть	redden, become red, flush, turn red in the face, blush, show red
351	мнение	opinion
352	земля	earth, ground, the Earth, land, soil
353	бывать	to be at, to have; to visit
354	прекрасный	beautiful, fine, excellent
355	нужный	necessary, needed
356	сильный	strong, powerful, fierce, keen, intense, violent, towering, potent, impressive, hard, heavy, good
357	рада	glad
358	кабинет	office, suite, cabinet
359	часто	often, frequently; closely together, thickly
360	ответить	answer, reply, respond
361	дух	spirit, courage, heart, breath, spectre, ghost
362	шляпа	hat, bonnet; cowboy kind of hat
363	волос	hair
364	желание	wishes
365	милый	cute
366	оставаться	remain, stay, be left
367	главное	chiefly, above all
368	пожалуйста	please; you are welcome
369	подробность	detail
370	впечатление	impression, influence, effect
371	назад	ago; back, backwards
372	начало	beginning, commencement, principles, basis, origin, source
373	конец	end, ending
374	странный	strange, queer, odd, funny, rum
375	домой	homeward, to ones home
376	вперед	forward, ahead, in the future, henceforward, henceforth, in advance; to the front
377	б	conditional particle (=бы)
378	ужас	terror, horror, it is terrific, terribly, horribly, awfully
379	завтра	tomorrow
380	дурной	bad, evil, ugly
381	белый	white
382	гость	visitor, guest
383	разумеется	of course, naturally
384	стоить	cost, be worth, should be
385	значение	meaning
386	держать	keep; hold
387	скоро	quickly, fast, soon
388	смеяться	to laugh; to laugh at
389	подходить	fit, suit
390	карета	carriage, coach
391	прежний	former
392	увидеть	see
393	близкий	near; close
394	вечер	evening
395	тяжелый	heavy; hard, difficult, severe
396	неприятный	unpleasant, disagreeable, annoying, objectionable, obnoxious
397	красивый	beautiful, handsome
398	положить	lay, put, place
399	звук	sound
400	подать	tax, duty, assessment
401	палец	finger, toe, pin, cam
402	поднять	lift, raise, lift up, heave, pick up
403	лес	wood, forest; timber, lumber
404	готовый	ready, prepared, willing, on the point, finished, ready-made
405	важный	important, significant, grand, pompous
406	обращаться	appeal to, address, turn to; treat
407	ездить	go, ride, drive
408	рассказывать	tell
409	написать	write; paint
410	случай	case, occasion, chance, opportunity, event, incident, occurrence
411	мальчик	boy, lad, apprentice
412	девочка	girl, little girl, girlie
413	малый	small, the little, fellow, boy, lad, guy
414	окно	window, casement-window, window-sill, gap, opening, port, slot, free period, break
415	прочесть	read
416	повторить	repeat, reiterate
417	плечо	shoulder, upper arm, humerus, arm
418	входить	enter, go in, come in, go, come, be a member, take part
419	рассказать	say, tell
420	занимать	to occupy; take up
421	видать	see
422	искать	look for, search, seek
423	велеть	to order, to tell
424	жалко	pitifully
425	равно	is indifferent, alike, in like manner, nor; equally
426	господин	gentleman, Monsieur, Signor, Herr, the master
427	волнение	agitation, emotion, nervousness, alarm, choppiness, roughness, unrest, disturbance; excitement
428	работа	work, working, job
429	внимание	attention, notice, note, kindness, consideration
430	решительно	resolutely, decidedly, positively, absolutely
431	напротив	opposite, on the contrary
432	оглянуться	glance back, look round, have a look round
433	рабочий	worker, workman, working man, labourer, hand, working, working-class, labour, work
434	влюбить	make fall in love
435	длинный	long, lengthy
436	причина	reason
437	вещь	thing, things, belongings, clothes, work
438	успеть	to have time, to find time; to manage, to succeed
439	позволить	allow, permit
440	верно	rightly, correctly; probably, likely
441	помочь	help, assist, aid
442	мужчина	man
443	начинать	begin, start, commence
444	услыхать	to hear (perf, colloquial)
445	фигура	figure, picture-card, face-card, court-card, chess-man, piece
446	представить	imagine; present
447	живой	alive
448	мера	measure, step
449	приятный	nice, pleasant, pleasing, agreeable, welcome
450	надеяться	to hope, rely
451	граница	abroad
452	называть	name, call
453	вполне	quite, fully, entirely, completely
454	подле	by the side of, by side
455	мучительный	poignant, agonizing
456	записка	note
457	хозяин	master, boss, owner, proprietor, host, landlord, man, husband
458	речь	speech, enunciation, style of speaking, language, discourse, oration, address
459	лежать	lay; be situated
460	мир	world; peace
461	подняться	to climb, come up
462	черный	black
463	довольный	satisfied, content, pleased
464	огромный	enormous, huge, vast
465	страшный	terrible, frightful, fearful, dreadful
466	второй	second, the latter
467	страдание	suffering
468	находиться	be situated
469	обедать	dine; to eat lunch
470	умереть	die, pass away
471	условие	condition, term, clause, conditions, contract, agreement
472	третий	third
473	ужасный	terrible, horrible
474	легко	easy, easily, lightly, slightly
475	мало	little, few, not enough
476	принимать	take; to admit, to accept
477	никак	in no way
478	картина	picture, painting, canvas, scene
479	часть	part
480	кучер	coachman, driver
481	указывать	tell
482	оттого	that is why
483	бросить	to throw; to send urgently
484	быстрый	fast, quick, rapid, prompt
485	поговорить	have a talk, talk
486	кончиться	end, finish
487	умный	smart, intelligent, clever, sensible; inteligente
488	столь	so
489	провести	spend; conduct, carry out, implement
490	сомнение	doubt
491	действительно	really, actually
492	поцеловать	kiss, give a kiss
493	тяжело	hardly
494	коляска	carriage, barouche, perambulator, pram, side-car; baby stroller
495	красный	red, Communist
496	связь	connection, link, bond; communication
497	утро	morning, morn
498	наконец	finally
499	главный	main, chief, principal, head
500	интерес	interest
501	деятельность	activity, work, occupation, operation
502	дурно	badly, bad, ill
503	холодный	cold, cool
504	работать	work, operate
505	семья	family
506	ночь	night
507	несчастье	misfortune, accident
508	тонкий	thin, fine, delicate, slender, slim, subtle, dainty, high-pitched, keen, shrewd, astute
509	ласка	caress, endearment, kindness, weasel
510	скачка	gallop
511	спать	sleep
512	простой	stand-by, downtime, idle period
513	легкий	light, easy, slight; lung
514	поспешно	in a hurry, hurriedly, hastily
515	помещик	landowner, landlord, landed gentleman, lord of the manor
516	прелесть	charm, fascination, delights
517	целый	whole, entire
518	вагон	carriage, coach, car, loads, lots, masses, heaps, bags
519	приходить	arrive
520	известный	well-known, known, notorious; certain
521	постоять	stand, stand up
522	неужели	really, actually
523	блестящий	shining, bright, brilliant
524	прекрасно	excellently, perfectly well
525	княжна	princess
526	против	against, opposite, facing, contrary to, to, as against
527	показать	show, display, point
528	тело	body
529	открыть	open, clear, uncover, bare, inaugurate, discover, let out, reveal
530	столько	so much, so many
531	чуть	nearly; a little
532	вести	lead, conduct, direct; drive a car
533	нынешний	present, present-day
534	понятие	idea, notion, conception, concept
535	ум	mind, brains, wit, intellect
536	перебить	kill, slaughter, slay, break; To interrupt
537	ряд	row, line, tier; file, rank
538	обещать	promise
539	отдать	to give back, to return; to give away, to hand over, to give up, to give over
540	церковь	church
541	невозможно	it is impossible, impossibly
542	товарищ	comrade, friend, companion, colleague, Comrade, assistant, under-
543	сначала	firstly, at first, all over again, afresh
544	чай	tea, tea-party, methinks, maybe
545	неприятно	it is unpleasant, unpleasantly
546	смысл	sense, meaning
547	звать	call, call upon
548	уметь	be able, know, can, be good, be a good hand
549	круг	circle, sphere, range, scope, reach, lap
550	детский	childish, infantile, puerile, childlike
551	хоть	though, even; you may, might as well
552	усилие	effort
553	бал	ball, dance, dancing party
554	случиться	happen
555	пять	five, 5
556	присутствие	presence, office
557	передать	deliver; pass, hand over
558	шея	neck
559	свидание	meeting, appointment, rendezvous, date
560	швейцар	hall porter, door-keeper
561	высказать	state, say, tell, express
562	предводитель	leader, ringleader
563	катавас	
564	представляться	present itself, arise, occur; seem
565	однако	however, though, but
566	вскрикнуть	cry out, utter a scream, utter a shriek
567	пить	drink
568	село	village
569	состоять	consist, be, be made, include; be a member of
570	замечать	note, observe, sight, catch sight, take notice, pay heed, remark
571	месяц	month, moon
572	охота	hunt, hunting, fowling; wish, inclination
573	вообще	in general, generally, on the whole, always
574	поверить	to believe
575	трава	grass; weed
576	болото	swamp, bog, marsh, mire, slough
577	вставать	get up, rise, be up, stand up, go, fit, arise
578	здоровый	healthy, strong, robust, sound, wholesome, huge
579	партия	party, detachment, group, set; batch (e.g. of drugs), lot
580	граф	count, earl
581	предложение	sentence; offer
582	грудь	breast, chest, bosom, bust, front, shirt-front
583	играть	play, act, perform, sparkle, toy, trifle
584	требовать	demand, need, require
585	служба	service, work
586	котора	
587	настоящий	real, genuine, true, complete, utter
588	впрочем	however
589	иначе	otherwise; differently
590	далекий	far
591	няня	nanny, nurse-maid, nurse, nursey, babysitter
592	член	member, limb, fellow, term, article; penis
593	отчаяние	despair
594	пока	bye (informal); while
595	садиться	sit down, sit up, take, board, get in, land, alight, perch, settle, come down, set, shrink
596	взяться	undertake, begin, start, take up, touch, seize; originate, come from
597	радостный	glad, joyous, joyful
598	половина	half
599	спокойствие	calm, calmness, quiet, tranquillity, composure
600	солнце	sun
601	толпа	crowd, throng, multitude
602	цель	aim, goal, object, end, purpose, objective, target, mark
603	план	plan, scheme, map, target
604	отъезд	departure
605	проходить	to pass, to go, to walk; to pass by
606	приказчик	shop-assistant, salesman, shopman, steward, bailiff
607	шталь	
608	привычка	habit
609	мучить	torment, torture
610	становиться	become
611	занятый	busy
612	некоторый	some, some people
613	приятно	it is pleasant, it is nice, pleasantly, agreeably
614	иногда	sometimes, at times
615	рот	mouth
616	кончить	finish, end; ejaculate, cum, have an orgasm
617	лестница	stairs, staircase, ladder
618	краснеть	redden, become red, flush, turn red in the face, blush, show red
619	делаться	become, get, grow, happen
620	страх	fear, fright, terrors, risk, responsibility, terribly
621	страшно	it is terrible, scary, terribly, awfully, frightfully
622	кресло	armchair, easy chair, stall
623	образование	education
624	поле	field, ground, margin, brim
625	несчастный	unhappy, unfortunate, miserable, unlucky, unfortunate wretch
626	мешать	disturb
627	показывать	show, display, point
628	решиться	decide, make a decision; be decided, come to an end
629	возможно	it is possible, it may be, it is not unlikely, possibly, perhaps
630	приятель	friend, pal, buddy
631	неловко	embarrassing, uncomfortably, awkwardly
632	закон	law, act, statute
633	священник	priest, clergyman
634	видно	evidently, obviously, apparently, probably, one can see
635	молча	silently, tacitly, without a word
636	приезд	arrival, coming
637	твердо	firmly, firm
638	поставить	put
639	сердиться	be angry, be cross
640	досада	vexation, annoyance, disappointment
641	ненавидеть	hate, loathe, detest, abhor, execrate
642	спокойно	quietly, calmly
643	подавать	give, serve, drive up, feed
644	объяснить	explain, account
645	офицер	officer
646	нравиться	like, enjoy
647	собака	dog
648	надеть	put on
649	послышаться	be heard, be felt
650	вздохнуть	to sigh, to take breath
651	здоровье	health
652	действовать	act, operate, function, work, run, have an effect
653	ясный	clear, lucid, distinct, serene
654	принести	to bring (by foot), to fetch; to yield, to bear
655	двор	courtyard, yard, court, homestead, farmstead
656	глупый	foolish, stupid, silly, inane
657	боль	pain, pang, stab
658	долг	debt, duty
659	спасть	fall down, abate
660	достать	reach; take, fetch
661	стул	chair, stool
662	заниматься	do; engage
663	свобода	freedom, liberty
664	губернский	Adjective of губерния
665	зала	hall, audience chamber, reception-room
666	портрет	portrait, likeness
667	молчать	be silent, keep quiet
668	смешной	ridiculous, ludicrous, funny, droll, amusing, absurd
669	непременно	without fail, certainly
670	мягкий	soft, mild, gentle
671	понравиться	enjoy, like
672	помощь	help, assistance, aid, relief
673	сон	dream; sleep
674	приказать	command
675	нежность	tenderness, delicacy
676	рубль	rouble (Russian currency), ruble
677	сознание	consciousness; realization, perception, awareness
678	прелестный	charming, delightful, lovely
679	застать	to catch, find, discover
680	снять	take off; rent
681	имя	name, first name; reputation
682	фру	
683	заснуть	fall asleep
684	строгий	strict, severe, austere
685	брать	take
686	короткий	short
687	сиять	shine, beam
688	внимательно	attentively, carefully, intently
689	повторять	repeat, reiterate
690	сад	garden
691	решение	decision; solution
692	встречать	meet
693	частый	frequent; close, thick
694	согласиться	to agree (to), to consent, to assent
695	оскорбить	insult, offend, outrage
696	надежда	hope
697	выпить	drink; take a drink
698	недовольный	dissatisfied, discontented, displeased, malcontent
699	дрожать	shiver, tremble, quiver, shake, quaver, take excessive care, fuss over, grudge
700	мимо	past, by
701	обязанность	responsibility
702	поразить	strike, engage, hit, startle, stagger, affect
703	выборы	election, elections
704	удивление	astonishment, surprise, wonder, amazement
705	вместо	instead of
706	любимый	favorite
707	направление	direction, orientation; frequently visited destination
708	держаться	keep, keep oneself
709	предмет	subject
710	образ	shape, form, appearance, image, mode, manner, icon, sacred image
711	семейный	domestic, family
712	вызвать	to call, to send for; to challenge, to defy
713	бежать	run
714	гостиный	arcade
715	десять	ten, 10
716	занятие	occupation; pursuit, employment, work, business, seizure, studies, lessons, pastime
717	странно	it is strange, in a strange way, strangely
718	происходить	happen, occur, take place, be going on, go on, come, be descended, descend, be the result, spring, arise
719	угол	corner, angle, home
720	красота	beauty
721	скучно	boringly, tediously
722	переставать	stop, cease
723	навстречу	towards, approaching
724	хозяйка	mistress, owner, proprientress, hostess, landlady, wife, missis, missus
725	дворянин	noble, nobleman, one belonging to the gentry, member of the gentry
726	гостиная	living room, drawing room, sitting room, parlour, reception room
727	ничто	nothing, nought
728	нарочно	on purpose
729	часы	watch, wrist-watch, watch
730	сделаться	become, turn into; happen
731	мама	mom, mama, mommy, mummy
732	значит	it means, so
733	чужой	stranger
734	проводить	spend; conduct, perform
735	двадцать	twenty
736	презирать	despise, hold in contempt, disdain
737	нечего	nothing
738	жениться	marry, get married
739	разговаривать	speak, talk, converse, be on speaking terms
740	сюда	here
741	больно	it is painful, badly, hard, very, mighty, a bit too
742	произвести	produce; execute, carry out, implement
743	баба	woman, milksop, molly-coddle, old woman, wife, ram, baba
744	нисколько	not at all, not in the least, none at all
745	конченый	finished, done for
746	убить	kill, murder, assassinate, slay
747	гораздо	much, far, by far
748	стыд	shame
749	отказаться	refuse, decline, repudiate, renounce, give up, abdicate, relinquish
750	серпуховский	
751	перед	before
752	остановить	stop, bring to stop
753	уезжать	leave, depart
754	интересовать	interest
755	нежный	tender, delicate, loving, affectionate, fond
756	опустить	lower, sink, pull down, omit, turn down
757	крикнуть	shout
758	встреча	meeting, reception, match, meet
759	мундир	full-dress uniform
760	целовать	kiss, give a kiss
761	воля	will; power
762	измениться	change
763	осторожно	carefully, cautiously, guardedly, warily, gingerly
764	прислать	send
765	обычный	usual, customary; ordinary
766	приготовить	prepare, make ready, train, cook, make, lay in, provide oneself, have in store
767	крайний	extreme, the last
768	кричать	shout
769	скорее	rather, sooner
770	возможность	possibility, opportunity, chance, means, resources
771	крыльцо	porch
772	встречаться	meet, encounter, be found, be met with; rendez-vous
773	пожать	shake, shrug, reap
774	французский	French
775	извинить	excuse, pardon
776	перемена	change, volte-face, interval, break, intermission, recess, change of underwear, change of bed-linen
777	ухо	ear
778	замуж	marry
779	мгновение	instant, moment
780	избегать	avoid
781	серьезный	serious, earnest, grave
782	город	town
783	полюбить	come to love, grow fond, fall in love
784	согласный	agreeable, concordant, harmonious, consonantal, consonant
785	страдать	suffer, be poor
786	адвокат	advocate, barrister, solicitor, lawyer
787	похожий	similar, resembling, alike
788	воздух	air, veil
789	лето	summer
790	статья	article, item, clause, point, class, rating
791	старший	elder, oldest, eldest, senior, chief, man in charge, elders
792	гора	mountain, hill
793	поднимать	to raise, to elevate, to increase
794	той	that (fem. instr.)
795	собираться	be going to, intend to
796	мрачно	grim, dark, bleak
797	утром	in the morning
798	тень	shadow, shade; ghost, phantom
799	станция	station
800	влияние	influence, impact, authority, ascendancy
801	середина	middle, midst
802	купить	buy, purchase
803	спина	back
804	петрицкий	
805	папа	dad; Pope
806	бывший	former, late, quondam, ex-
807	объявить	to declare; to announce
808	проснуться	wake up, awake
809	женский	female, womanlike, womanly, feminine
810	необходимо	it is necessary
811	обыкновенно	usually, as a rule
812	соображение	consideration, understanding, reason
813	забота	care, trouble, anxiety
814	свежий	fresh, latest
815	снимать	take off; rent
816	оглядывать	examine, look over
817	приезжать	arrive, come
818	средство	way, means; resource
819	полагать	suppose, assume; think, believe
820	черта	line; trait, feature, streak
821	блестеть	shine, glitter, sparkle
822	изменить	change, alter, vary; betray
823	тихо	quietly, it is calm, it is quiet, softly, gently, faintly, silently; calmly, peacefully, slowly
824	устроить	arrange, organize, establish, make, settle, put in order, place, fix up, set up, suit, be convenient
825	интересный	interesting, prepossessing, attractive
826	объяснение	explanation, having things out
827	смех	laughter, laugh
828	спальня	bedroom, bedroom suite
829	жалеть	feel sorry, pity, be sorry, regret, spare, grudge
830	широкий	wide, broad
831	громко	loud, aloud
832	бумага	paper; document
833	помолчать	be silent, keep quiet
834	твердый	hard, solid, firm, strong, steadfast, stable
835	произойти	happen, occur, take place, be going on, go on, come, be descended, descend, be the result, spring, arise
836	мрачный	gloomy, sombre, dark, dismal, dreary
837	школа	school, schoolhouse
838	чрез	through (archaic =через)
839	перестать	stop, cease
840	поклониться	bow, greet, cringe, humiliate oneself, humbly beg
841	французски	in French (adv)
842	существо	creature
843	следить	watch, spy, shadow, follow
844	зуб	tooth
845	сомневаться	to doubt
846	болезнь	illness
847	привезти	bring
848	известие	news, tidings, information, proceedings, transactions
849	барин	barin, gentleman, landowner, lord of the manor, master, sir, lord, grand gentleman
850	медленно	slowly
851	жалкий	pitiful, pitiable, poor, wretched
852	рядом	near, next to, side by side, beside, by, next, next door
853	религия	religion
854	совет	advice, council, advice, counsel, opinion, Soviet
855	радостно	With joy, happily
856	вероятно	very likely
857	подобный	similar; like, such as
858	оглядываться	glance back, look round, have a look round
859	общественный	public, social, sociable
860	характер	character, temper, disposition; type
861	знание	knowledge, erudition, accomplishments
862	заехать	call in on the way, get, reach, fetch, collect, strike
863	строго	strictly, severely
864	ход	motion, run, speed, way, course; entrance, entry, passage
865	бывало	would
866	глубина	depth, intensity, profundity, heart, interior
867	прощать	to forgive, to excuse, to pardon
868	возвращаться	return, go back, revert, recur, be restored, come back
869	блеск	lustre, brilliance, brilliancy, magnificence, gorgeousness
870	передний	front, first
871	разный	different, diverse, various
872	лоб	forehead
873	видимо	apparently, evidently
874	представлять	represent; imagine
875	испуганный	frightened, scared, startled
876	крик	cry, shout, yell, scream
877	недостаток	disadvantage
878	вследствие	as a result of, owing to, on account of, in consequence of
879	начаться	begin
880	нахмуриться	to frown
881	знаменитый	famous, celebrated, illustrious
882	любоваться	admire; contemplate
883	поступить	enter, join, matriculate, enroll
884	железный	iron, ferreous, ferrous
885	отказать	refuse, deny
886	душевный	sincere/sentimental heartfelt, cordial, mental, psychical
887	спускать	lower, down, launch, release, let out, drain, send sown, send out, pardon, squander, dissipate, impose; move down, slip
888	около	by, near, around, about
889	страсть	passion, obsession; strong love between people
890	засмеяться	begin to laugh
891	привести	to bring (someone with); to lead (of a road)
892	совестно	ashamed, embarrassing
893	переменить	change
894	степень	degree, extent, power
895	заставить	force; cram, fill, block up, obstruct
